Account Name,Address
Wine Stop,"30-08 Broadway, Queens, NY 11106"
The East Pole,"133 E 65th St, New York, NY 10065"
Adega Wine & Spirits,"31-25 Ditmars Blvd, Astoria, NY 11105"
Alice,"126 W 13th St, New York, NY 10011"
Amelie,"22 W 8th St, New York, NY 10011"
Angel’s Share,"45 Grove St, New York, NY 10014"
Archive Wine & Spirits,"270 Greenwich St, New York, NY 10007"
Astoria Wines and Spirits,"34-12 Broadway, Astoria, NY 11106"
Bangkok Supper Club,"641 Hudson St, New York, NY 10014"
Banks Tavern,"19 Greenpoint Ave, Brooklyn, NY 11222"
Bed-Vyne Brew,"370 Tompkins Ave, Brooklyn, NY 11216"
Bed-Vyne Wine,"385 Tompkins Ave, Brooklyn, NY 11216"
Bedford Wines and Spirits,"101 Bedford Ave, Brooklyn, NY 11211"
Blue Slip,"1122 Manhattan Ave, Brooklyn, NY 11222"
Bowery Hotel,"335 Bowery, New York, NY 10003"
Cabrini Wines & Spirits,"91 Pinehurst Ave, New York, NY 10033"
Canal’s - Glassborough,"1299 Delsea Dr, Glassboro, NJ 08028"
Canal’s Discount Liquor Mart,"4212 Black Horse Pike # 1, Mays Landing, NJ 08330"
Chelsea Wine & Liquors,"557 W 23rd St, New York, NY 10011"
Cocktail Bedstuy,"305 Halsey St #2411, Brooklyn, NY 11216"
Cool Wine & Spirits,"375b Canal St, New York, NY 10013"
Cronin and Phelan,"38-14 Broadway, Astoria, NY 11103"
Duke’s Liquor Box,"114 Franklin St, Brooklyn, NY 11222"
Eulalie,"239 W Broadway, New York, NY 10013"
Gemma,"335 Bowery, New York, NY 10003"
Gowanus Wine Merchants,"493 3rd Ave, Brooklyn, NY 11215"
Greywind,"451 10th Ave, New York, NY 10018"
Jin Brothers,"51-03 Skillman Ave, Woodside, NY 11377"
Kings co Imperial Brooklyn,"20 Skillman Ave, Brooklyn, NY 11211"
Leland Eating and Drinking House,"755 Dean St, Brooklyn, NY 11238"
Loring Place,"21 W 8th St, New York, NY 10011"
Luana’s Tavern,"449 Court St, Brooklyn, NY 11231"
Martiny’s,"121 E 17th St, New York, NY 10003"
Mister Wright ,"1593 3rd Ave, New York, NY 10128"
Mr. Melo,"61 Withers St, Brooklyn, NY 11211"
Off the Vine,"4421 30th Ave., Astoria, NY 11103"
One Fifth,"1 5th Ave, New York, NY 10003"
Passion Vines,"013 Ocean Heights Ave, Egg Harbor Township, NJ 08234"
Peasant,"194 Elizabeth St, New York, NY 10012"
Pecoraro Latteria,"636 Metropolitan Ave, Brooklyn, NY 11211"
Pound Ridge Wine,"71 Westchester Ave, Pound Ridge, NY 10576"
Queens Room,"36-02 Ditmars Blvd, Astoria, NY 11105"
Rego Park Wines & Liquors,"9724 63rd Rd, Rego Park, NY 11374"
Rosetta Wines,"44 Exchange Pl, New York, NY 10005"
Rubirosa Pizza & Ristorante,"235 Mulberry St, New York, NY 10012"
Rusty Face,"188 Grand St, Brooklyn, NY 11211"
Savvy Sips,"50 Main St, Irvington, NY 10533"
ShopRite Liquors of Pearl River,"46 N Middletown Rd, Pearl River, NY 10965"
Soho Loft Wines - Wine Dad’s,"1330 Willow Ave, Hoboken, NJ 07030"
Some Good Wine,"13 E 8th St, New York, NY 10003"
Stella’s Juice Box,"983 Manhattan Ave, Brooklyn, NY 11222"
Sussex Wine & Spirits,"300 E 42nd St, New York, NY 10017"
The Highwater (Hei Tiki),"34-20 Broadway, Astoria, NY 11106"
The Jazz Club at Aman,"The Crown Building, 9 W 56th St, New York, NY 10019"
The Marlton,"5 W 8th St, New York, NY 10011"
The Pomeroy,"36-12 Ditmars Blvd, Astoria, NY 11105"
The Wine Hut,"10013 US, 197 6th Ave, New York, NY 10014"
Tootles & French,"3615 Ditmars Blvd, Astoria, NY 11105"
Trapizzino,"144 Orchard St, New York, NY 10002"
Tusk Bar,"7 E 27th St, New York, NY 10016"
Urban Wines and Spirits,"Corner Space, 45 1st Ave. space 1-D, New York, NY 10003"
Walker Hotel,"77 Walker St, New York, NY 10013"
West Side Liquors,"870 West Side Ave, Jersey City, NJ 07306"
Wine Therapy,"171 Elizabeth St, New York, NY 10012"
Paradise Lost,"100 2nd Ave, New York, NY 10003"